"Libellé";"idBank";"Dernière mise à jour";"Période";"1949";"1950";"1951";"1952";"1953";"1954";"1955";"1956";"1957";"1958";"1959";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025"
"Indice annuel des prix d'achat des moyens de production agricole (IPAMPA) - Semences de tournesol (oléique et linoélique)";"010776878";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"98.7";"97.4";"95.5";"97.7";"100.5";"101.6";"102.1";"104.5";"106.1";"106.8";"105.9";"104.0";"101.6";"100.8";"101.5";"100.0";"100.8";"100.5";"105.5";"105.8";"104.5"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix d'achat des moyens de production agricole (IPAMPA) - Semences de pois protéagineux";"010776879";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"84.5";"84.2";"88.5";"91.0";"91.4";"93.2";"94.1";"100.1";"100.0";"99.5";"99.4";"102.1";"103.0";"101.8";"102.8";"100.0";"100.2";"106.0";"113.4";"111.1";"111.1"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix d'achat des moyens de production agricole (IPAMPA) - Semences autres oléagineux et protéagineux  (soja, lin, féverole, lupin)";"010776880";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"83.6";"83.0";"82.0";"91.9";"91.0";"86.2";"88.4";"93.5";"97.1";"96.9";"95.0";"94.2";"98.1";"103.3";"96.7";"100.0";"100.8";"105.7";"113.8";"112.0";"113.0"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix d'achat des moyens de production agricole (IPAMPA) - Semences jachères  et cultures couvre-sol";"010776881";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73.9";"73.3";"73.1";"92.0";"99.5";"86.6";"83.3";"86.4";"86.4";"90.7";"91.3";"90.4";"89.0";"87.5";"89.7";"100.0";"97.7";"100.3";"108.6";"110.1";"108.6"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix d'achat des moyens de production agricole (IPAMPA) - Semences de cultures intermédiaires pièges à nitrates (CIPAN)";"010776882";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73.8";"73.2";"73.0";"91.8";"99.3";"86.5";"83.1";"86.2";"86.2";"90.5";"91.1";"90.2";"88.8";"88.3";"89.1";"100.0";"101.1";"101.6";"108.9";"109.5";"108.0"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
