"idBank";"Dernière mise à jour";"IPAGRI";"﻿Base de l'indice";"Indicateur";"Correction";"Série arrêtée";"Puissance";"Nomenclature de l'indice des prix agricoles";"Zone géographique";"Unité";"Périodicité";"Nature"
"010776868";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Semences d’orge (standard et haut de gamme)";"France";"sans objet";"Annuelle";"Indice"
"010776869";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Semences orge hybride fourragère";"France";"sans objet";"Annuelle";"Indice"
"010776870";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Semences autres céréales à paille (triticale, avoine, seigle)";"France";"sans objet";"Annuelle";"Indice"
"010776871";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Semences maïs, sorgho et riz";"France";"sans objet";"Annuelle";"Indice"
"010776872";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Semences de maïs – grains";"France";"sans objet";"Annuelle";"Indice"
"010776873";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Semences de maïs – fourrages";"France";"sans objet";"Annuelle";"Indice"
"010776874";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Semences de sorgho et de riz";"France";"sans objet";"Annuelle";"Indice"
"010776875";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Semences fourragères";"France";"sans objet";"Annuelle";"Indice"
"010776876";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"semences oléagineux et protéagineux";"France";"sans objet";"Annuelle";"Indice"
"010776877";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Semences de colza";"France";"sans objet";"Annuelle";"Indice"
"010776878";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Semences de tournesol (oléique et linoélique)";"France";"sans objet";"Annuelle";"Indice"
"010776879";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Semences de pois protéagineux";"France";"sans objet";"Annuelle";"Indice"
"010776880";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Semences autres oléagineux et protéagineux  (soja, lin, féverole, lupin)";"France";"sans objet";"Annuelle";"Indice"
"010776881";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Semences jachères  et cultures couvre-sol";"France";"sans objet";"Annuelle";"Indice"
"010776882";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Semences de cultures intermédiaires pièges à nitrates (CIPAN)";"France";"sans objet";"Annuelle";"Indice"
"010776883";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Semences jachères et culture couvre sol (hors CIPAN, vesce, moutarde, phacélie)";"France";"sans objet";"Annuelle";"Indice"
"010776884";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Semences potagères, florales et textiles";"France";"sans objet";"Annuelle";"Indice"
"010776885";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Autres semences et plants";"France";"sans objet";"Annuelle";"Indice"
"010776886";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Plants de pommes de terre";"France";"sans objet";"Annuelle";"Indice"
"010776887";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Semences de betteraves industrielles";"France";"sans objet";"Annuelle";"Indice"
"010776888";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Semences et plants produits tropicaux (ananas, banane, canne à sucre)";"France";"sans objet";"Annuelle";"Indice"
"010776889";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Énergie et lubrifiants";"France";"sans objet";"Annuelle";"Indice"
"010776890";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Combustibles";"France";"sans objet";"Annuelle";"Indice"
"010776893";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Gaz";"France";"sans objet";"Annuelle";"Indice"
"010776894";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Carburants";"France";"sans objet";"Annuelle";"Indice"
"010776895";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Essence";"France";"sans objet";"Annuelle";"Indice"
"010776896";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Gazole";"France";"sans objet";"Annuelle";"Indice"
"010776897";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"gazole non routier";"France";"sans objet";"Annuelle";"Indice"
"010776898";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Electricité";"France";"sans objet";"Annuelle";"Indice"
"010776899";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Lubrifiants";"France";"sans objet";"Annuelle";"Indice"
"010776900";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Engrais et amendements";"France";"sans objet";"Annuelle";"Indice"
"010776901";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Engrais simples";"France";"sans objet";"Annuelle";"Indice"
"010776902";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Engrais simples azotés";"France";"sans objet";"Annuelle";"Indice"
"010776903";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Ammonitrates";"France";"sans objet";"Annuelle";"Indice"
"010776904";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Solutions azotées";"France";"sans objet";"Annuelle";"Indice"
"010776905";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Urée";"France";"sans objet";"Annuelle";"Indice"
"010776906";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Sulfate d'amonium";"France";"sans objet";"Annuelle";"Indice"
"010776907";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Autres engrais simples azotés (ammoniac, anhydre, autres engrais azotés)";"France";"sans objet";"Annuelle";"Indice"
"010776908";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Engrais simples phosphatés";"France";"sans objet";"Annuelle";"Indice"
"010776909";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Superphosphates triples : >38%";"France";"sans objet";"Annuelle";"Indice"
"010776910";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Autres engrais simples phosphatés (superphosphates et autres engrais phosphatés)";"France";"sans objet";"Annuelle";"Indice"
"010776911";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Engrais simples potassiques (yc compris chlorure et sulfate de potassium)";"France";"sans objet";"Annuelle";"Indice"
"010776912";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Engrais composés";"France";"sans objet";"Annuelle";"Indice"
"010776913";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Engrais binaires";"France";"sans objet";"Annuelle";"Indice"
"010776914";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Engrais binaires N P";"France";"sans objet";"Annuelle";"Indice"
"010776915";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Phosphate d'ammoniaque";"France";"sans objet";"Annuelle";"Indice"
"010776916";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Autres N P solides ou liquides";"France";"sans objet";"Annuelle";"Indice"
"010776917";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Engrais binaires P K";"France";"sans objet";"Annuelle";"Indice"
"010776918";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Superpotassiques";"France";"sans objet";"Annuelle";"Indice"
"010776919";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Phosphopotassiques";"France";"sans objet";"Annuelle";"Indice"
